IP source,IP destination,Length,Flag,Numéro ACK,Numéro WIN,Numéro seq,ICMP Request/Reply
BP-Linux8,192.168.190.130,"108
",[P.],1972915080,312,2243505564:2243505672, 
BP-Linux8,192.168.190.130,"36
",[P.],1,312,108:144, 
BP-Linux8,192.168.190.130,"108
",[P.],1,312,144:252, 
BP-Linux8,192.168.190.130,"36
",[P.],1,312,252:288, 
192.168.190.130,BP-Linux8,"0
",[.],108,7319, , 
192.168.190.130,BP-Linux8,"0
",[.],144,7318, , 
192.168.190.130,BP-Linux8,"0
",[.],252,7316, , 
192.168.190.130,BP-Linux8,"0
",[.],288,7320, , 
BP-Linux8,ns1.lan.rt,"36
",[P.],1851233244,2048, , 
ns1.lan.rt,BP-Linux8,"36
",[P.],36,291, , 
192.168.190.130,BP-Linux8,"116
",[P.],36,291,1601828178:1601828214, 
BP-Linux8,192.168.190.130,"36
",[P.],36,291,1:37, 
BP-Linux8,ns1.lan.rt,120,[S],37,512, , 
ns1.lan.rt,BP-Linux8,120,[S],512,512, , 
BP-Linux8,192.168.190.130,120,[S],512,512,37:153, 
BP-Linux8,192.168.190.130,120,[S],153,512,153:189, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],189,512,326991629:326991749, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],36,512,920517760:920517880, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],36,512,556803824:556803944, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],36,512,1921632185:1921632305, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],225,512,1170972654:1170972774, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],585,512,754504426:754504546, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],653,512,669863147:669863267, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2940722356,512,1036593434:1036593554, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,473640609:473640729, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1840127120,512,294639309:294639429, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],286,512,2003734750:2003734870, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],221,512,943277646:943277766, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],29200,512,612921749:612921869, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3793353134,512,1079269685:1079269805, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,1427118982:1427119102, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,1481846896:1481847016, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],198,512,807245684:807245804, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],198,512,29032482:29032602, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1419,512,2121432424:2121432544, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],198,512,266983944:266984064, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2837,512,780253659:780253779, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],198,512,426927737:426927857, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3403,512,2059846495:2059846615, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3403,512,485695892:485696012, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],79842106,512,1506899314:1506899434, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],429,512,1974670292:1974670412, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],429,512,984948282:984948402, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],800,512,2071134208:2071134328, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3403,512,582048290:582048410, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3403,512,1414722580:1414722700, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],291,512,1376167161:1376167281, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],291,512,793373662:793373782, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3764,512,586859843:586859963, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3764,512,1313429529:1313429649, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],454,512,599747608:599747728, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1764270382:1764270502, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],953,512,1266534982:1266535102, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3802,512,1923888203:1923888323, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],953,512,477956184:477956304, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4306,512,1697346829:1697346949, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],953,512,1581732153:1581732273, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4787,512,2134846905:2134847025, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],953,512,5001436:5001556, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4833,512,100084791:100084911, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4833,512,1351883007:1351883127, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],999,512,892547770:892547890, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],3822724508,512,203925976:203926096, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,93263311:93263431, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],653,512,589592255:589592375, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],80,512,1666861586:1666861706, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],769,512,1444571600:1444571720, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],769,512,702975955:702976075, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],124,512,2016486038:2016486158, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],989,512,1002497398:1002497518, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2544627891,512,294189577:294189697, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],31,512,1398461889:1398462009, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],989,512,1995017329:1995017449, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,921320533:921320653, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,248505708:248505828, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,558621145:558621265, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1118905776:1118905896, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],160,512,1158043116:1158043236, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1025,512,1469406826:1469406946, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4195674092,512,492373102:492373222, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1687855121:1687855241, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1153,512,1360633195:1360633315, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1253,512,1274977706:1274977826, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1289,512,549939990:549940110, 
